#separator:tab
#html:true
What is a Machine Learning?	ML is a component of AI, it is producing knowledge from data, learning a function f: X--&gt;Y
K-Fold Cross Validation	"<ul><li>the most commonly used method for evaluating classification problem.&nbsp;</li><li>evaluates learner.</li></ul><div>[latex]\begin{equation}</div>\begin{aligned}<br>&amp; D=S_1 \cup S_2 \cup \ldots \cup S_k \\<br>&amp; \text { for } i=1 \text { to } k \\<br>&amp; \quad \text { train } h_i \text { on } D \backslash S_i \\<br>&amp; \quad \delta=\delta+\text { error }_{S_i}\left(h_i\right) \\<br>&amp; \text { error }_{k, D}=\frac{\delta}{k}<br>\end{aligned}
<br><div>\end{equation}[/latex]<br></div><br>The error wil lbe the mean value of all errors computed.&nbsp;<br>Note: accuracy = 1 - error"
Present an example when Accuracy isnt a valid metric	let’s consider a binary classification problem with a dataset D with 98% of true and 2% of false.<br>A dumb hypothesis that returns always true has a very high accuracy. So we use other performance metrics
What are precision and recall?	Precision and recall are two important metrics used to evaluate the performance of classification algorithms, particularly in binary classification tasks.<br><br>Precision:<br>- Precision measures the proportion of true positive predictions among all positive predictions made by the model.<br>- It indicates the accuracy of positive predictions and is calculated as: <br>&nbsp; Precision = TP / (TP + FP), where TP is the number of true positive predictions and FP is the number of false positive predictions.<br><br>Recall:<br>- Recall (also known as sensitivity or true positive rate) measures the proportion of true positive predictions among all actual positive instances in the data.<br>- It indicates the ability of the model to identify all relevant instances and is calculated as: <br>&nbsp; Recall = TP / (TP + FN), where FN is the number of false negative predictions.<br><br>Precision and recall are complementary metrics: while precision focuses on the accuracy of positive predictions, recall focuses on the ability to capture all positive instances. Balancing these metrics is important depending on the specific requirements of the classification task.
What is F1-score?	The F1-score is a single metric that combines precision and recall into a single value, providing a more balanced measure of a model's performance in binary classification tasks.<br><br>Formula:<br>F1-score = 2 * (Precision * Recall) / (Precision + Recall)<br><br>- It takes into account both false positives (FP) and false negatives (FN) and is the harmonic mean of precision and recall.<br>- The F1-score ranges from 0 to 1, where a score of 1 indicates perfect precision and recall, and a score of 0 indicates either no precision or no recall.<br><br>The F1-score is useful when there is an uneven class distribution or when false positives and false negatives have different costs.
Explain Confusion Matrix	"represents in each entry how many instances of class C_i
<br>is misclassified as an element of class C_j . So, the main diagonal contains accuracy for each class.<br><img src=""paste-9c7f737dc4a00345f1bd9e2b3719565e17b85ca6.jpg"">"
Decision Trees in Hypothesis Space	In the context of machine learning, the problem revolves around finding a consistent hypothesis for a given training set D and target function c. One approach to solve this is by defining a hypothesis space H and implementing an algorithm to search for an h ∈ H that is consistent with D.<br><br>In our case, the hypothesis space consists of decision trees. Each hypothesis, or decision tree, is structured as follows:<br>- Each internal node represents an attribute.<br>- Each branch represents a value of an attribute.<br>- Each leaf node assigns a classification value.<br><br>Decision trees can be further interpreted as a set of rules, representing the disjunction of conjunctions of all paths leading to the positive leaf nodes. This allows for a clear and interpretable representation of the decision-making process.
ID3 Algorithm	"The ID3 (Iterative Dichotomiser 3) algorithm is a classic decision tree algorithm used for building decision trees from a training dataset. Here's how it works:<br><br>It uses&nbsp;<i>information gain</i>&nbsp;to measure how well a given attribute separates the training examples according to their target classification. Top node will be one with the most information gain.<br><br>Algorithm:&nbsp;<br><ol><li>create a root node for the tree</li><li>if all examples are positive, then return the node Root with label +</li><li>if all examples are negative, then return the node Root with label -</li><li>if Attributes is empty, then return node Root with label = most common value of Target_attrivute in Examples,&nbsp;</li><li><img src=""paste-4f1073a3fd7995d70e2870031d3cdcf4adc836a4.jpg""><br></li></ol>"
Issues with Decision Trees	<ul><li>Determining how deeply to grow the DT</li><li>Handling continuous attributes</li><li>Choosing appropriate attribute selection measures</li><li>Handling training data with missing attribute values</li><li>Handling attributes with different costs</li><li>Overfitting (but there are some ways to deal with it)</li></ul>
Ways to avoid/reduce overfitting in Decision Trees	"As DT tries to accomodate all instances, it tends to overfit.&nbsp;<br>We can:<br><ol><li>Stop growing when data split not statistically significant (before it overfits)</li><li>Let it overfit (grow full tree) then post-prune.</li></ol><div>To correctly determine the size of the tree:</div><div><ul><li>Use separate subset of examples (other then training set) ro evaluate the utility of post-pruning</li><li>apply a statistical test to estimate accuracy of a tree on the entire
<br>data distribution<br></li><li>using an explicit measure of the complexity for encoding the examples
<br>and the decision trees.<br></li></ul></div>"
What is rule post-pruning and reduced-error pruning	"reduced-post pruning:&nbsp;<br><img src=""paste-5076efc6dd5c8d5d214b00fcad3013e2fe2e32c7.jpg""><br>Rule post-pruning<br><img src=""paste-f1d3f6765077def134b08e34131fedbceb1ef9fe.jpg"">"
Random Forest	"method based on decision trees.<br>generates a set of decision trees using random criteria (e.g.
<br>random picking attributes) and integrates their values into a final value. Usually they perform better that one single decision tree. The result of the Random Forest is the most common classification of all the trees (majority vote) and they are less sensitive to overfitting."
"<span class=""cloze"" data-cloze=""Conditional&#x20;probability"" data-ordinal=""1"">[...]</span> is the probability of an event given another event happened"	"<span class=""cloze"" data-ordinal=""1"">Conditional probability</span> is the probability of an event given another event happened<br>
"
"<span class=""cloze"" data-cloze=""Prior&#x20;probability"" data-ordinal=""1"">[...]</span> is the probability of an event without knowing any other information (e.g. P(Odd = true) = 0.5 )."	"<span class=""cloze"" data-ordinal=""1"">Prior probability</span> is the probability of an event without knowing any other information (e.g. P(Odd = true) = 0.5 ).<br>
"
How do we interpret classification as a probabilistic estimation?<br>	"Given&nbsp;[latex]x' \notin D [/latex] the best prediction is&nbsp;[latex]h*(x')=y*[/latex]<br>[latex]v^*=\arg \max _{y \in Y} P\left(y \mid x^{\prime}, D\right)[/latex]<br><br>Where D is the dataset, and argmax returns the value of y for which the
<br>function is maximum (instead max{f(x)} returns the max value of f(x)). So, what we are going to compute is the probability distribution over Y (codomain):<img src=""paste-7bf390ee556d24ac454e10905c3a36bed40be2a5.jpg"">"
What is conditional independence	Conditional independence is a concept in probability theory that describes the relationship between random variables given the value of another variable. Two random variables X and Y are conditionally independent given a third variable Z if the probability distribution of X is independent of the value of Y when Z is known.<br><br>Formally, X is independent from Y given Z if and only if P(X, Y | Z) = P(X | Z)&nbsp; for all possible values of X, Y, and Z.<br><br>Conditional independence is a useful concept in various areas, including machine learning, where it helps simplify probabilistic models and inference algorithms.
Learning as a Probabilistic Estimation	In machine learning, learning as a probabilistic estimation refers to the approach of modeling learning problems using probabilistic frameworks. Instead of deterministic rules or algorithms, probabilistic methods represent uncertainty by assigning probabilities to different outcomes.<br><br>This approach allows machine learning models to make predictions or decisions while acknowledging uncertainty and variability in the data. It also provides a principled way to handle noisy or incomplete information.<br><br>Probabilistic estimation involves:<br>- Defining a probabilistic model that captures the relationship between inputs and outputs.<br>- Learning model parameters from training data using probabilistic inference techniques.<br>- Making predictions or decisions by computing probabilities or distributions over possible outcomes.<br><br>Common techniques for probabilistic estimation include Bayesian inference, maximum likelihood estimation, and probabilistic graphical models.
What is a bayes rule? Explain the formula	"\[\text{1. Maximum a posteriori (MAP) hypotheses:} \\
\text{MAP hypotheses are the hypotheses that maximize the posterior probability } P(h|D). \\
\text{In other words, given the observed data } D, \text{ MAP hypotheses are those that are most likely to be true.} \\\]<br>\[\text{2. Maximum likelihood (ML) hypotheses:} \\
\text{ML hypotheses are the hypotheses that maximize the likelihood } P(D|h) \text{ of the observed data } D \\
\text{given the hypotheses } h. \text{ In other words, ML hypotheses are those that make the observed data most probable under the given hypothesis.}\]<br>\[\text{These concepts are fundamental in Bayesian learning, where we seek to infer the most likely hypotheses given the observed data.} \\
\text{The MAP and ML hypotheses provide different perspectives on how we can approach this inference process.}\]<br><br><img src=""paste-28dab7aba8be091565a86b3242268cb8deacdf03.jpg"">"
Represent most probable hypothesis given D	"Maximum a posteriori hypothesis (MAP) called&nbsp;[latex]h<sub>MAP</sub>[/latex]<br><img src=""paste-225005675b30772839e3e0704e3d62e3f9ac3087.jpg"" width=""552""><br>Is defined as the argmax over all possible hypothesis in
<br>the hypothesis space, so it’s the value of h for which the probability is maximized. We have eliminated the probability of D ( P(D) ) because it doesn’t depend on h."
What is Maximum Likelihood (ML) hypothesis and how is it different from Maximum A Posteriori (MAP) hypothesis	"If we assume that all the hypotheses have the same probability we can simplify and choose the Maximum likelihood (ML) hypothesis:<br><img src=""paste-1edae15c2844acc510824e96587830e5f381cf32.jpg""><br>where MAP is&nbsp;<br><img src=""paste-5b0c3fe7342b7b4440c8eac260164714c397d030.jpg"">"
In general, we want the most probable hypothesis given D, this is called&nbsp;<b>maximum a posteriori hypothesis (MAP)&nbsp;</b>called h<sub>MAP.&nbsp;</sub>Explain	"<img src=""paste-5c26baaecd0e6aa0bd5d13b0c591c00d3ad1c580.jpg""><br>Is defined as the argmax over all possible hypothesis in
the hypothesis space, so it’s the value of h for which the probability is&nbsp;maximized. We have eliminated the probability of D ( P(D) ) because it doesn’t
depend on h.
If we assume that all the hypotheses have the same probability we can simplify
and choose the Maximum likelihood (ML) hypothesis:<br><img src=""paste-af7e77c8bc40a0deba889a50325d5a92bb893b7d.jpg"">"
Bayes Optimal Classifier	"If h<sub>MAP</sub> is the most probable hypothesis given dataset D, given a new instance
x’ ∉ D, hMAP(x’) may not be the most probable classification. We need to
take a weighted average, and then return as value the class for which you have
the highest weighted average.
Here we need to introduce the Bayes Optimal Classifier:<br><img src=""paste-259706e04c7c007da12735a05feb9381c85a0682.jpg""><br>It is optimal, but not computationally feasable solution"
Naive Bayes Classifier	"Uses&nbsp;<b>conditional independence&nbsp;</b>to approximate optimal bayes classifer. Two events are conditionally independent if:&nbsp;<br><img src=""paste-1530437e73428148bc6aa7879182e4cf4a581f3c.jpg""><br><img src=""paste-25d455699a81657d5eb2655f3ab3b66f1ab274d8.jpg""><br><img src=""paste-a7c480991774e92ab5d259ea5bad0c5722c45193.jpg""><br>Optimal Bayes solve this problem by applying this to space of all possible
hypothesis. We want to avoid this, so we don’t use total probability or heuristic
space of hypothesis. In order to do this, we assume that all the attributes are
independent each other given the dataset and classification value. This is a
very strong assumption:<br><img src=""paste-6b4e9a5e663eacce4969f85293e4c4ae1d713d61.jpg"">"
"We say that instances in a dataset (binary)
are <b>linearly separable</b> if"	there exists a linear function (hyperplane) such that the instance space is divided in two regions, in one you find only positive examples and in the other - only negative ones.
Can we use a combination of binary models for k-classes? Why?	"We can not use combination of binary linear models, in fact, given the figure, we have 3 classes but&nbsp;there is a green region in which you cannot
determinate the right classification&nbsp;(the “left one” says
that is C<sub>1</sub>, instead the “right one” says that that region is
C<sub>2</sub>). This is called One-versus-the-rest classifier in which
K-1 binary classifiers: C<sub>K</sub> vs not-C<sub>K</sub>.<br><img src=""paste-60c6ea7c2b40fecd68dbc57935e680e9edf22950.jpg"" style=""float: left;""><br><br><img src=""paste-a5f3ceec3737f5e157eca29a8d1f9d81868ae8c7.jpg"" width=""574"">"
How do we apply linear classification to multiple classes?	"We define a set of linear functions. Creating K-class disctiminant comprising of K linear functions (x not in dataset)&nbsp;<br><img src=""paste-3991315766575e4f0e12291e0dcf7fa20bd0498e.jpg""><br><img src=""paste-f718f206e7bfb44e71f939e58478ea7ad84eedaf.jpg""><img src=""paste-8325ea3dd4c499f27be5bbbdcf68f6c5759b38d7.jpg""><br>After, we learn linear discriminant"
Approaches to learn linear discriminants	"Given a multi-class classification problem and data set D with linearly
<br>separable data,<br><img src=""paste-ef600d1a2a3080c23748528d2cbacf4859eb75ff.jpg""><br><img src=""paste-3ad30a9b395896b4154c8df281acff2d23eda9c5.jpg""><br><img src=""paste-694d6fb982839b9f78f9bfb36dea6c80ca4b909f.jpg""><br><ul><li>Least squares</li><li>Perceptron</li><li>Fisher's linear discriminant</li><li>Support Vector Machines</li></ul>"
Explain least squares method	"<img src=""paste-9c3e2916accbf285317ddb271d7938e0dcc5b8ad.jpg""><img src=""paste-d676c35a354a55f84fd2cb917c04e6f18655f866.jpg""><br>pinv means pseudoinverse.<br>Our goal is to find th ematrix W.&nbsp;we need to solve this as an optimization
problem, so we will define an error function. This function is defined in terms of least square error, and the error is the difference between <b>prediction of the sample in the data and the value that is in the dataset<br></b><img src=""paste-ac00f8e54f9b305979342303e60f579e16d5f870.jpg""><br>"
Can we get a closed-form solution for the sum-of-squares error function for the Least Squares method? If yes, write it down	"<img src=""paste-292b7182f8b2ccc914999c47ece3af01fbe0f6a6.jpg""><br><img src=""paste-f58f87134d11cb7339c4eac291455f32aba4f009.jpg""><br>So the discriminant function will be a line dividing the classes. We can use it for classification.<br>"
In Least Squares method, how do we classify the new instance x not in the dataset	"<img src=""paste-0ea3f6b6874aa5bfb70ca57565f3dcdbfa833d1b.jpg"">"
Define and explain the the sum-of-squares error function in the context of the least squares method&nbsp;	"<img src=""paste-c255cf705623dd5577f32dd9873199dc3b38c417.jpg""><br><b>W</b> - weight matrix<br><b>X</b> - Input matrix. Rows - sample, Column - features<br><b>T</b> - Target matrix<br><b>XW-T</b> - matrix of residuals, difference between the predicted target values (obtained by multiplying the input matrix X by the weight matrix W) and the actual target values T.<br><b>(XW-T)<sup>T</sup></b>&nbsp;- transpose of the matrix of residuals<br><b>TR(.)</b> - trace operator, returns the sum of the diagonal elements of a square matrix.<br><b>1/2</b>&nbsp;- a scaling factor used t osimplify the computation of the gradient during optimization.&nbsp;<br><img src=""paste-28a25557efdc73cd5f40f89fac40e4a75923c30f.jpg"">"
Problem with the Least Squares method	"Minimizing error function E(W) is easy because we can easily solve it with a closed form solution. The problem is that this solution is not robust to outliers, because it finds the line that is&nbsp;<b>the best average distance from each points<br></b><img src=""paste-3404bdc5f6a4172bebbce3e0e9fbf21c1b63eeb5.jpg"">"
Explain Fishers linear discriminant in words	dimensionality reduction and classification technique used for linearly separable classes. It aims to find the linear combination of features that best separates multiple classes while preserving the class discrimination information as much as possible.&nbsp;
Explain Fisher's linear discriminant with precise definition	"<img src=""paste-698afd5f1163b71592583a730f087ae6bb106140.jpg"">"
Explain Perceptron model	"A perceptron, which is an iterative method, takes a vector of real-valued inputs, calculates a linear combination of these inputs, then outputs 1 if the result is greater than some threshold and -1 otherwise. We need to minimize the square
error (loss function).&nbsp;The output will be a function that
depends on the sign of the linear combination<br><img src=""paste-134dc2d92843fa79e4d75afbdfa2a625f1cc1efd.jpg"">"
State Perceptron training approaches. What are we trying to achieve?&nbsp;	Learning a perceptron involves choosing values for the weights w0, ... wn. Therefore, the space H of candidate hypotheses considered in perceptron learning is the set of all possible real-valued weight vectors.&nbsp;<br><br>For a single perceptron unit, the precise learning problem is to determine a weight vector that causes the perceptron to produce the correct +-1 output for each of the given training examples. Out of several algorithms, we consider 2:<br><ul><li>Perceptron Rule</li><li>Delta Rule</li></ul><br>
Explain Perceptron training rule	"<img src=""paste-9a40c2620e53dfbcb3b8b1bf84612ddfe7643475.jpg""><br><img src=""paste-e82e2c1b8d91fd0607d40817545d77e3c6103179.jpg""><br><img src=""paste-8e233d91b79bb9ce0ff584039707f7136055c9de.jpg""><br>We do derivative with respect to w_i and obtain:&nbsp;<br><img src=""paste-9638f4f92a236ae8e2b96d31a07e041900b85a4c.jpg""><br><img src=""paste-d048e7a75e2cd60c0accdb0a6d40d42e74c3bd4b.jpg"">"
How do we update weights for perceptron	"<img src=""paste-bd281ffe33fb38209431ea385de967693805748f.jpg"">"
Perceptron algorithm	"<img src=""paste-aa3904823d4e4fccc344c1442dd3e4ccf7106bed.jpg""><br><img src=""paste-f1a96202c6567dded6a1e7773e7d79275568a1f9.jpg""><br><img src=""paste-3fbe7b00eb5124235979bae2888607e00222f453.jpg"">"
When do we use Support Vector Machines?	when we dont want to find a line that completely divides instances simply, but which does it in the best way. We want a line that guarantees the maximum distance between points of the two classes from it.&nbsp;So, we want the hyperplane that maximize the margin between two points.
How do we compute SVM	"We have to make a scaling operation, so we scale all these points
by multiply all points by a constant term so this does not affect the solution.
And we rescale in such a way that the closest point has a distance from the
optimal hyperplane of 1. When we compute the optimal margin there will be 2
closest points, one for side, and these points will be at distance 1 from the
optimal hyperplane.&nbsp;"
State two probabilistic models for classification	"<ul><li><b>Generative -&nbsp;</b>&nbsp;estimate P(x | C<sub>i</sub>) and then compute P(C<sub>i&nbsp;</sub>| x) with Bayes<br></li><li><b>Discriminative -</b>&nbsp;estimates P(C<sub>i&nbsp;</sub>| x)</li></ul><div>The difference between generative and discriminative models lies in how they approach the estimation of the conditional probability <span style=""font-style: italic;"">P</span>(<span style=""font-style: italic;"">C</span><span style=""font-style: italic;"">i</span>​∣<span style=""font-style: italic;"">x</span>), where <span style=""font-style: italic;"">C</span><span style=""font-style: italic;"">i</span>​ represents a class label and <span style=""font-style: italic;"">x</span> represents the input data.<br></div>"
Explain Probabilistic Generative Models	"The idea is to compute the probability of a class given an instance by using Bayes theorem, and all the methods can be extended to multiple classes.<br><ol><li>&nbsp;Find the&nbsp;<b>conditional probability P(C<sub>i&nbsp;</sub>| x)&nbsp;</b><br><img src=""paste-443009c1b67d8b46a13e19e89512b17a014695c8.jpg""><br></li><li><b>Model the class-conditional distributions</b> - Now we assume that P(x | C<sub>i</sub>) can be replaced by a <b>gaussian distribution,&nbsp;</b>so we get that P(C<sub>i&nbsp;</sub>| x)&nbsp;is given by the sigmoid function of this term with means
and covariance of the two distributions.</li><li><b>Estimate Prior Probabilities P(C<sub>i</sub>)&nbsp;</b><br></li><li><b>Goal -&nbsp;</b>find the parameters of this model:&nbsp;so the means of the two gaussian distributions, sigma and covariance.
We just compute likelihood and then we solve the optimization problem for
finding max likelihood.<br></li></ol>"
<div><div><div><div><div><div><div><div>Explain Probabilistic Discriminative models</div></div></div></div></div></div></div></div>	"<div>They focus on directly modeling the conditional probability distribution of the class labels given the input features. Unlike generative models, which model the joint probability distribution of both the input features and the class labels, discriminative models aim to learn the decision boundary between different classes in the feature space.</div><div><ol><li><div><strong>Modeling Conditional Probability</strong>: Discriminative models directly estimate the conditional probability distribution <span style=""font-style: italic;"">P</span>(<span style=""font-style: italic;"">C</span><span style=""font-style: italic;"">i</span>​∣<span style=""font-style: italic;"">x</span>), which represents the probability of each class <span style=""font-style: italic;"">C</span><span style=""font-style: italic;"">i</span>​ given the input features <span style=""font-style: italic;"">x</span>. This conditional distribution captures the relationship between the input features and the class labels.</div></li><li>Discriminative models focus on learning the decision boundary that separates different classes in the feature space.</li></ol><div>We will estimate posterior probability directly without Bayes theorem. We
consider a dataset in a transformed space, the likelihood function is the
probability of receiving the output t given the input n, and the model is given by
the sigmoid function of a linear combination of the input and the weights.<br></div></div>"
What is a Logistic Regression?	"A probabilistic disctiminative model based on maximum likelihood.<br><img src=""paste-cada8f3b972ac669664e8ae422de6b73dc8e70db.jpg""><br><div>The cross-entropy error function, also known as the log loss or logistic loss, is commonly used in binary classification problems, particularly in logistic regression and neural networks with binary output units. It measures the difference between the predicted probability distribution and the actual distribution of the target variable.</div><div>In the binary classification setting, where the target variable �<span style=""font-style: italic;"">y</span> takes on values of 0 or 1, the cross-entropy error function is defined as:</div><div><img src=""paste-80106c0b9d3d1865d09e4f2f89ebb7637e6bd2fa.jpg""><br></div><div>In multi-class classification problems, the cross-entropy error function is extended to handle multiple classes using the softmax function and is calculated over all classes.<br></div>"
What is linear regression?&nbsp;	Linear regression is a statistical method used to model the relationship between a dependent variable and one or more independent variables by fitting a linear equation to observed data.
